dbn,school_name,building_ids
08X558,Westchester Square Academy,X405
08X559,School for Tourism and Hospitality,X650
08X561,Bronx Compass High School,X450
08X562,Blueprint Middle School,X125
09X004,P.S./M.S. 004 Crotona Park West,X004
09X022,J.H.S. 022 Jordan L. Mott,X022
09X042,P.S. 042 Claremont,X042
09X055,P.S. 055 Benjamin Franklin,X055
09X063,P.S. 063 Author's Academy,X063
09X073,P.S. 073 Bronx,X073
09X110,P.S. 110 Theodore Schoenfeld,X110
09X117,I.S. 117 Joseph H. Wade,X117
09X128,Mott Hall III,X110
09X204,P.S. 204 Morris Heights,X338
09X215,Kappa,X148
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,X235
09X219,I.S. 219 New Venture School,X148
09X227,Bronx Collegiate Academy,X410
09X229,I.S. 229 Roland Patterson,X229
09X232,I.S. 232,X082
09X241,"Urban Assembly School for Applied Math and Science, The",X970
09X250,Eximius College Preparatory Academy: A College Board School,X002
09X252,Mott Hall Bronx High School,X970
09X260,Bronx Center for Science and Mathematics,X002
09X263,Validus Preparatory Academy,X970
09X274,The New American Academy at Roberto Clemente State Park,X229
09X294,The Walton Avenue School,X064
09X297,Morris Academy for Collaborative Studies,X400
09X303,I.S. X303 Leadership & Community Service,X082
09X311,Lucero Elementary School,X064
09X313,I.S. 313 School of Leadership Development,X147
09X323,Bronx Writing Academy,X022
09X324,Bronx Early College Academy for Teaching & Learning,X166
09X327,Comprehensive Model School Project M.S. 327,X240
09X328,New Millennium Bronx Academy of the Arts,X145
09X329,DreamYard Preparatory School,X410
09X339,I.S. 339,X147
09X350,New Directions Secondary School,X410
09X365,Academy for Language and Technology,X082
09X403,Bronx International High School,X400
09X404,School for Excellence,X400
09X412,Bronx High School of Business,X410
09X413,Bronx High School for Medical Science,X410
09X443,The Family School,X090
09X449,Grant Avenue Elementary School,X166
09X454,Science and Technology Academy: A Mott Hall School,X166
09X457,Sheridan Academy for Young Leaders,X090
09X517,Frederick Douglass Academy III Secondary School,X148
09X543,High School for Violin and Dance,X400
09X555,Mount Eden Children's Academy,X240
09X564,Claremont International HS,X410
09X568,Young Women's Leadership School of the Bronx,X117
09X582,Garden of Learning and Discovery Pre-K Center,"X073, X582"
09X593,South Bronx International Middle School,X145
09X594,M.S. 594,X145
10X015,P.S. X015 Institute for Environmental Learning,X015
10X020,"PS/MS 20 P.O.George J. Werdann, III",X020
10X045,Thomas C. Giordano Middle School 45,X045
10X046,P.S. 046 Edgar Allan Poe,X046
10X077,Bedford Park Elementary School,X177
10X080,J.H.S. 080 The Mosholu Parkway,X080
10X095,P.S. 095 Sheila Mencher,X095
10X213,Bronx Engineering and Technology Academy,X475
